|||"Talf"|"20519050"|"7003777"
|||"Talf"|"20519051"|"7003732"
|||"Rise"|"20519051"|"7003733"
|"Crest"|||"20519051"|"7003734"
|"Side Slope"|||"20519051"|"7003735"
|"Base Slope"|||"20519051"|"7003736"
|||"Talf"|"20519053"|"7003737"
|||"Rise"|"20519053"|"7003738"
|"Crest"|||"20519053"|"7003739"
|"Side Slope"|||"20519053"|"7003740"
|"Base Slope"|||"20519053"|"7003741"
|||"Talf"|"20519054"|"7003746"
|||"Dip"|"20519054"|"7003747"
|||"Talf"|"20519055"|"7003748"
|"Crest"||"Rise"|"20519055"|"7003749"
|"Side Slope"|||"20519055"|"7003750"
|"Base Slope"|||"20519055"|"7003751"
||||"20519055"|"7003752"
|||"Talf"|"20519056"|"7003753"
|||"Dip"|"20519056"|"7003754"
|||"Talf"|"20519057"|"7003707"
|"Crest"||"Rise"|"20519057"|"7003708"
|"Side Slope"|||"20519057"|"7003709"
|"Base Slope"|||"20519057"|"7003710"
||||"20519057"|"7003711"
|||"Talf"|"20519058"|"7003712"
|||"Rise"|"20519058"|"7003713"
|||"Talf"|"20519059"|"7003714"
|||"Dip"|"20519059"|"7003715"
|||"Talf"|"20519060"|"7003722"
|||"Rise"|"20519060"|"7003723"
|"Crest"|||"20519060"|"7003724"
|"Side Slope"|||"20519060"|"7003725"
|"Base Slope"|||"20519060"|"7003726"
|||"Talf"|"20519061"|"7003727"
|||"Rise"|"20519061"|"7003728"
|"Crest"|||"20519061"|"7003729"
