unit_id,Mean_slope,tract_id
TRACT_00520,1.28946,TRACT_00520
TRACT_00521,4.863921,TRACT_00521
TRACT_00522,1.828878,TRACT_00522
TRACT_00523,1.604419,TRACT_00523
TRACT_00524,3.663669,TRACT_00524
TRACT_00525,2.060739,TRACT_00525
TRACT_00526,2.398741,TRACT_00526
TRACT_00527,2.620498,TRACT_00527
TRACT_00528,2.912742,TRACT_00528
TRACT_00529,2.758985,TRACT_00529
TRACT_00530,1.88355,TRACT_00530
TRACT_00531,3.512468,TRACT_00531
TRACT_00532,1.834063,TRACT_00532
TRACT_00533,4.01264,TRACT_00533
TRACT_00534,2.516255,TRACT_00534
TRACT_00535,3.127234,TRACT_00535
TRACT_00536,4.242998,TRACT_00536
TRACT_00537,1.241513,TRACT_00537
TRACT_00538,4.496138,TRACT_00538
TRACT_00539,1.619732,TRACT_00539
TRACT_00540,5.254768,TRACT_00540
TRACT_00541,1.96684,TRACT_00541
TRACT_00542,1.440583,TRACT_00542
TRACT_00543,4.235516,TRACT_00543
TRACT_00544,1.351223,TRACT_00544
TRACT_00545,4.233868,TRACT_00545
TRACT_00546,1.584333,TRACT_00546
TRACT_00547,4.064726,TRACT_00547
TRACT_00548,1.82156,TRACT_00548
TRACT_00549,3.462515,TRACT_00549
TRACT_00550,2.879279,TRACT_00550
TRACT_00551,3.263205,TRACT_00551
TRACT_00552,2.323604,TRACT_00552
TRACT_00553,3.395785,TRACT_00553
TRACT_00554,2.181449,TRACT_00554
TRACT_00555,1.311764,TRACT_00555
TRACT_00556,1.590341,TRACT_00556
TRACT_00557,3.351097,TRACT_00557
TRACT_00558,1.35164,TRACT_00558
TRACT_00559,0.773191,TRACT_00559
TRACT_00560,1.051998,TRACT_00560
TRACT_00561,1.01684,TRACT_00561
TRACT_00562,0.719285,TRACT_00562
TRACT_00563,1.364926,TRACT_00563
TRACT_00564,0.813859,TRACT_00564
TRACT_00565,2.440954,TRACT_00565
TRACT_00566,0.600768,TRACT_00566
TRACT_00567,0.828557,TRACT_00567
TRACT_00568,1.244693,TRACT_00568
TRACT_00569,2.474085,TRACT_00569
TRACT_00570,0.806684,TRACT_00570
TRACT_00571,1.497983,TRACT_00571
TRACT_00572,0.514996,TRACT_00572
TRACT_00573,1.976409,TRACT_00573
TRACT_00574,0.978067,TRACT_00574
TRACT_00575,2.967748,TRACT_00575
TRACT_00576,0.693124,TRACT_00576
TRACT_00577,1.377084,TRACT_00577
TRACT_00578,0.573847,TRACT_00578
TRACT_00579,1.158407,TRACT_00579
TRACT_00580,0.59552,TRACT_00580
TRACT_00581,1.793211,TRACT_00581
TRACT_00582,0.729348,TRACT_00582
TRACT_00583,1.78198,TRACT_00583
TRACT_00584,0.697515,TRACT_00584
TRACT_00585,2.556122,TRACT_00585
TRACT_00586,0.889004,TRACT_00586
TRACT_00587,1.954442,TRACT_00587
TRACT_00588,2.624584,TRACT_00588
TRACT_00589,0.772081,TRACT_00589
TRACT_00590,1.391371,TRACT_00590
TRACT_00591,1.976425,TRACT_00591
TRACT_00592,1.330942,TRACT_00592
TRACT_00593,1.06114,TRACT_00593
TRACT_00594,1.032381,TRACT_00594
TRACT_00595,0.759632,TRACT_00595
TRACT_00596,0.480479,TRACT_00596
TRACT_00597,0.920131,TRACT_00597
TRACT_00598,2.012626,TRACT_00598
